Country Code,EN.ATM.CO2E.PC,NY.GDP.PCAP.CD,SI.POV.GINI,EP.PMP.SGAS.CD,AG.LND.PRCP.MM,EN.CLC.MDAT.ZS,AG.LND.EL5M.ZS,EN.POP.EL5M.ZS,ER.PTD.TOTL.ZS,AG.LND.ARBL.HA.PC,EN.POP.DNST,SP.DYN.LE00.IN,SE.ADT.LITR.ZS,SP.POP.GROW
SRB,6.263063271,5348.294064,29.06,1.55,686,0.010660574,#N/A,#N/A,6.76,0.365426299,80.69302538,75.48780488,98.00289154,-0.536587877
SSD,0.12958768,758.7205782,46.34,1.98,900,#N/A,#N/A,#N/A,20.8,#N/A,#N/A,56.1115122,31.97624969,2.891554145
STP,0.607752145,1756.06147,30.82,#N/A,3200,#N/A,0.898821551,1.320859447,0,0.045486391,208.2395833,66.51370732,91.74710846,2.203582284
SUR,3.872877576,6484.432731,57.61,1.29,2331,0.339835427,2.697954737,56.18849757,8.58,0.118628725,3.579282051,71.29417073,95.53898621,0.928418221
SVK,6.221186601,16495.98768,26.12,1.77,824,0.044927135,#N/A,#N/A,36.63,0.257333516,112.8957285,77.21219512,#N/A,0.090357025
SVN,7.010182271,21304.57016,25.59,1.78,1162,0,0.096306892,0.756482579,53.95,0.089326764,102.524578,81.07804878,99.71475983,0.063656995
SWE,4.617181884,51599.86887,27.32,1.82,624,0,0.981584563,3.736961839,13.03,0.266911163,24.31347622,82.55121951,#N/A,1.055073996
SWZ,0.85657624,2775.153908,51.45,1.14,788,9.226586308,0,0,4.02,0.135125014,78.08709302,48.87395122,87.47019196,1.809667249
SXM,20.83579643,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1176.617647,73.05365854,#N/A,2.99658342
SYC,7.175088105,15075.71944,46.82,#N/A,2330,0.078021324,16.42298755,16.63716455,0.05,0.000875666,205.8195652,73.22926829,95.32108307,1.33763478
SYR,1.820621348,2058.035209,#N/A,0.83,252,0.507772234,0.025965702,0.132135055,0.67,0.242773429,100.367331,70.08931707,86.30393219,-1.638838749
TCA,5.980971366,#N/A,#N/A,#N/A,#N/A,#N/A,55.87936317,48.35395845,3.58,0.02963929,36.73684211,#N/A,#N/A,1.620509472
TCD,0.046348489,664.2956519,43.32,0.9,322,2.714641025,#N/A,#N/A,17.78,0.361105596,11.47755956,51.87331707,40.01824188,3.114092441
TGO,0.316562894,578.4616936,46.02,1.25,1168,0.508477885,0.426619824,3.610001126,19.75,0.366583367,139.848759,60.1207561,66.53759003,2.523861304
THA,4.44825731,5907.913432,37.85,1.29,1622,3.751098955,2.90528606,10.34185638,12.49,0.245699987,134.7912741,74.60119512,93.98301697,0.299465512
TJK,0.438543625,795.8438644,30.76,1.32,691,5.37808587,#N/A,#N/A,21.92,0.087291912,62.93827187,69.76843902,99.78105164,2.155884123
TKM,12.46551641,6389.334143,40.77,0.22,161,0.000475378,#N/A,#N/A,3.15,0.354905684,12.0497606,65.73643902,99.69293213,1.732524453
TLS,0.371540554,1161.760935,31.56,1.17,1500,0.025120381,0.676322159,0.9350375,2.09,0.127801955,85.31748487,68.52641463,64.06613922,2.207092325
TON,1.984458074,3688.874636,38.1,#N/A,#N/A,#N/A,7.347107203,7.528864139,1.52,0.170161275,148.7805556,72.94404878,99.39785767,0.710119807
TTO,34.52003192,15377.09881,40.27,0.36,2200,0.000817749,2.6525162,2.907216261,2.63,0.018457091,266.0744639,70.55770732,98.9695816,0.35742449
TUN,2.511904245,3688.646375,35.81,0.91,207,0.098450336,1.939264589,8.515590236,3.68,0.260231868,73.39886715,74.97597561,81.05419159,1.142910708
TUR,4.267882101,10787.60934,40.18,2.06,593,0.136563067,0.530868554,1.755872692,0.2,0.26880217,103.3125346,75.42621951,95.68810272,1.5730117
TUV,#N/A,3083.615251,41.1,#N/A,161,#N/A,32.65421347,47.46696097,0.01,#N/A,369.9,#N/A,#N/A,0.868862376
TZA,0.212329522,879.193814,37.78,1.29,1071,1.495863574,0.088716314,0.71018394,26.05,0.258448049,62.73673628,65.4874878,80.35949707,3.092454074
UGA,0.130358436,615.3088032,41.01,1.4,1180,0.85120347,#N/A,#N/A,16,0.177682382,206.9018801,59.17907317,73.80983734,3.290872381
UKR,5.959632751,2185.728031,24.09,1.17,565,0.269239354,1.215087844,1.800944464,3.93,0.718568609,77.68931796,71.1895122,99.76410675,-0.33138051
URY,2.231615857,15220.56603,41.6,1.8,1300,0.264742967,1.516515562,4.114018793,1.67,0.704947382,19.6777854,77.13821951,98.44210052,0.362269175
USA,16.4012901,57466.78711,41.06,0.76,715,0.214155723,1.167679223,2.512555129,14.82,0.485318347,35.32444263,78.74146341,#N/A,0.692801346
UZB,3.413198669,2110.647872,35.27,1.02,206,0.123694001,#N/A,#N/A,3.44,0.143053609,74.86647861,68.45307317,99.99519348,1.739791235
VCT,1.911992316,7030.057145,#N/A,#N/A,1583,0.00923654,3.403213626,3.710258969,0.46,0.04572181,281.1358974,73.05236585,95.63215637,0.171612745
VEN,6.119559178,12237.22406,46.94,0.015,2044,0.155204204,1.458119112,2.496107478,36.69,0.087838077,35.78955728,74.40960976,95.39924622,1.31705725
VGB,6.057819383,#N/A,#N/A,#N/A,#N/A,#N/A,28.00742564,12.01159316,0.08,0.033797485,204.4066667,#N/A,#N/A,1.803451649
VIR,#N/A,36350.82163,#N/A,#N/A,#N/A,#N/A,6.63837255,5.444844631,2.81,0.009599693,294.1457143,79.87317073,#N/A,-0.60331862
VNM,1.700368284,2185.690282,37.59,1.04,1821,1.599361681,15.40582425,36.97183199,2.54,0.070644525,298.9682975,75.77773171,94.51426697,1.071293182
VUT,0.42009228,2860.566475,37.19,#N/A,206,0.10570389,0.827032824,1.176430145,2.31,0.077264825,22.18228056,72.15736585,85.05867767,2.167915111
WSM,1.249521643,4027.76137,42.69,1.03,1583,0,0.37125961,1.44459699,0.23,0.041603828,68.94876325,73.76487805,99.01500702,0.702526007
XKX,#N/A,3661.429847,26.71,1.54,#N/A,#N/A,#N/A,#N/A,#N/A,0.173069867,166.8228162,71.34634146,#N/A,0.796024104
YEM,0.991006604,990.334774,#N/A,0.7,167,0.099410699,0.414368245,1.581225688,0.61,0.04754951,52.24579616,64.03139024,69.96195221,2.451502043
ZAF,8.839271241,5273.59388,63.38,1.19,495,1.805650562,0.067860899,0.164518301,10.24,0.230854179,46.08797781,57.44090244,94.59793854,1.617203497
ZMB,0.252400712,1178.387905,55.62,1.68,1020,4.199676744,#N/A,#N/A,37.85,0.24326268,22.31855419,60.78568293,85.11726379,3.002815515
ZWE,0.915379488,1008.597331,43.15,1.56,657,#N/A,#N/A,#N/A,26.61,0.259543495,41.74838309,59.16107317,86.87348175,2.33606955
